voltaje menor,voltaje mayor,distancia,voltaje promedio
6,6.08,0,6.04
6.4,6.4,0.75,6.4
6.72,6.8,1.5,6.76
3.92,4,2.00 ± 0.25,3.96
3.83,3.92,2.50 ± 0.25,3.875
3.92,4,2.00 ± 0.25,3.96
3.83,3.92,2.50 ± 0.25,3.875
5.44,5.52,6.00 ± 0.25,5.48
4.8,4.88,5.00 ± 0.25,4.84
5.12,5.2,5.50 ± 0.25,5.16
4.32,4.4,6.50 ± 0.25,4.36
4.63,4.67,10.50 ± 0.25,4.65
4.24,4.27,14.75 ± 0.25,4.255
3.16,3.2,18.75 ± 0.25,3.18
2.67,2.7,23.25 ± 0.25,2.685
2.28,2.32,28.00 ± 0.25,2.3
1.98,2.02,32.00 ± 0.25,2
1.62,1.66,36.50 ± 0.25,1.64
1.58,1.59,41.00 ± 0.25,1.585
1.28,1.32,45.25 ± 0.25,1.3
1.176,1.184,49.75 ± 0.25,1.18
1.064,1.074,54.00 ± 0.25,1.069
0.928,0.936,58.00 ± 0.25,0.932
0.904,0.912,62.00 ± 0.25,0.908
0.824,0.84,66.75 ± 0.25,0.832
0.736,0.746,71.00 ± 0.25,0.741
0.672,0.68,75.00 ± 0.25,0.676
0.672,0.68,79.50 ± 0.25,0.676
