# Tiempo (s) 	 Tensión CH1 (V) 	 Tensión CH2 (V)
-7.420000000000000380e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.410000000000000137e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.399999999999999894e-04	-1.000000000000000000e+01	-2.000000000000000042e-03
-7.390000000000000735e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.380000000000000492e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.370000000000000249e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.360000000000000006e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.350000000000000847e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.340000000000000604e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.330000000000000361e-04	-1.000000000000000000e+01	0.000000000000000000e+00
-7.320000000000000118e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.309999999999999875e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.300000000000000716e-04	-1.000000000000000000e+01	0.000000000000000000e+00
-7.290000000000000473e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.280000000000000230e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.269999999999999987e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.260000000000000828e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.250000000000000585e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.240000000000000342e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.230000000000000098e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.219999999999999855e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.210000000000000697e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.200000000000000453e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.190000000000000210e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.179999999999999967e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.170000000000000808e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.160000000000000565e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.150000000000000322e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-7.140000000000000079e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.130000000000000920e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.120000000000000677e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.110000000000000434e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.100000000000000191e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.089999999999999948e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.080000000000000789e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.070000000000000546e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.060000000000000303e-04	-1.000000000000000000e+01	0.000000000000000000e+00
-7.050000000000000060e-04	-1.000000000000000000e+01	0.000000000000000000e+00
-7.040000000000000901e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.030000000000000658e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.020000000000000415e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-7.010000000000000172e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-6.999999999999999929e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-6.990000000000000770e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-6.980000000000000527e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-6.970000000000000284e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-6.960000000000000041e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-6.950000000000000882e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-6.940000000000000639e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-6.930000000000000396e-04	-1.000000000000000000e+01	-2.000000000000000042e-03
-6.920000000000000153e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-6.909999999999999910e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-6.900000000000000751e-04	-1.020000000000000107e+01	-2.000000000000000042e-03
-6.890000000000000508e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-6.880000000000000265e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-6.870000000000000022e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-6.860000000000000863e-04	-1.020000000000000107e+01	0.000000000000000000e+00
-6.850000000000000620e-04	-1.020000000000000107e+01	0.000000000000000000e+00
