# Tiempo (s) 	 Tensión CH1 (V) 	 Tensión CH2 (V)
-2.500000000000000120e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.490000000000000216e-05	-1.020000000000000107e+01	-8.000000000000000383e-04
-2.479999999999999972e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.470000000000000068e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.460000000000000164e-05	-1.000000000000000000e+01	-8.000000000000000383e-04
-2.450000000000000260e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.440000000000000017e-05	-1.000000000000000000e+01	-8.000000000000000383e-04
-2.430000000000000112e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.420000000000000208e-05	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.409999999999999965e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.400000000000000061e-05	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.390000000000000157e-05	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.380000000000000252e-05	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.370000000000000009e-05	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.360000000000000105e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.350000000000000201e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.339999999999999958e-05	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.330000000000000053e-05	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.320000000000000149e-05	-1.000000000000000000e+01	-8.000000000000000383e-04
-2.310000000000000245e-05	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.300000000000000002e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.290000000000000098e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.280000000000000193e-05	-1.000000000000000000e+01	0.000000000000000000e+00
-2.270000000000000289e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.260000000000000046e-05	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.250000000000000142e-05	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.240000000000000237e-05	-1.000000000000000000e+01	0.000000000000000000e+00
-2.229999999999999994e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.220000000000000090e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.210000000000000186e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.199999999999999943e-05	-1.020000000000000107e+01	0.000000000000000000e+00
-2.190000000000000039e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.180000000000000134e-05	-1.000000000000000000e+01	0.000000000000000000e+00
-2.170000000000000230e-05	-1.020000000000000107e+01	-4.000000000000000192e-04
-2.160000000000000326e-05	-1.000000000000000000e+01	-4.000000000000000192e-04
-2.150000000000000083e-05	-1.000000000000000000e+01	4.000000000000000192e-04
