Distancia (m),Vpp (mV),error d (m),error Vpp (mV)
0.025,356,1.00E-03,15.68
0.05,376,1.00E-03,16.28
0.075,400,1.00E-03,17
0.1,496,1.00E-03,19.88
0.125,480,1.00E-03,19.4
0.15,428,1.00E-03,17.84
0.175,380,1.00E-03,16.4
0.2,248,1.00E-03,12.44
0.225,172,1.00E-03,10.16
0.25,84,1.00E-03,7.52
0.275,36,1.00E-03,6.08
0.3,132,1.00E-03,8.96
0.325,240,1.00E-03,12.2
0.35,360,1.00E-03,15.8
0.375,400,1.00E-03,17
0.4,456,1.00E-03,18.68
0.425,444,1.00E-03,18.32
0.45,456,1.00E-03,18.68
0.475,400,1.00E-03,17
0.5,344,1.00E-03,15.32
0.525,272,1.00E-03,13.16
0.55,180,1.00E-03,10.4
0.575,72,1.00E-03,7.16
0.6,56,1.00E-03,6.68
0.625,168,1.00E-03,10.04
0.65,272,1.00E-03,13.16
0.675,344,1.00E-03,15.32
0.7,400,1.00E-03,17
0.725,440,1.00E-03,18.2
0.75,424,1.00E-03,17.72
0.775,388,1.00E-03,16.64
0.8,344,1.00E-03,15.32
0.9,44,1.00E-03,6.32
