d (cm),Vpp_1 (182.8Hz) (V),escala_1 (mv/div),Vpp_2 (364.5Hz)(V),escala_2 (mv/div),Vpp_3 (552.2Hz) (V),escala_3 (mv/div),Vpp_4 (734.8Hz) (V),escala_4 (mv/div),Vpp_5 (921.3Hz) (V),escala_5 (mv/div)
86.5,0.28,200,0.72,200,0.668,100,0.612,100,0.42,100
85,0.416,200,0.888,,0.872,200,0.888,200,0.554,
80,0.78,200,1.84,500,1.63,,1.46,,0.658,
79,,,1.98,,,,1.45,,0.6,100
75,1.12,200,2.38,,1.98,500,1.11,,0.328,50
72,,,2.72,,,,,,0.034,10
70,1.51,200,2.76,,1.61,200,0.464,100,0.228,
67,,,2.88,,,,0.043,10,0.504,100
65,1.94,500,2.86,,0.896,200,0.37,50,0.656,100
62,,,2.84,,,,,,0.696,
60,2.22,500,2.62,,0.0968,20,1.16,200,0.648,
55,2.46,,2.08,,0.78,100,1.5,200,0.224,50
53,,,1.88,,,,,,0.04,10
50,2.64,,1.18,200,1.54,200,1.01,200,0.354,50
45,2.7,,0.274,50,2,500,0.232,50,0.708,100
43.5,,,0.083,20,,,0.067,10,0.736,100
40,2.66,,0.636,100,1.84,500,0.62,100,0.58,100
35,2.5,,1.5,200,1.13,200,1.33,200,0.106,20
34.2,,,1.66,500,,,,,0.057,20
30,2.3,,2.26,500,0.36,50,1.45,200,0.504,100
28,,,2.44,,0.094,20,1.28,200,0.668,100
25,2,,2.74,,0.576,100,0.856,200,0.76,100
20,1.68,,2.98,,1.48,200,0.096,20,0.472,100
15,1.27,200,2.9,,2.04,500,0.904,200,0.111,20
10,0.925,,2.52,,1.98,500,1.45,200,0.616,100
5,0.616,,1.78,,1.36,200,1.38,200,0.732,100
2.5,0.448,,1.27,200,0.98,200,1.05,200,0.608,100
