tiempo (s),señal CH1 (mV),señal CH2 (V)
-0.000001,25.6,-14.4
0.000003,25.6,-14.4
0.000007,28,-14.6
0.000011,25.6,-14.4
0.000015,25.6,-14.4
0.000019,25.6,-14.6
0.000023,27.2,-14.4
0.000027,25.6,-14.4
0.000031,28,-14.6
0.000035,26.4,-14.2
0.000039,28,-14.4
0.000043,26.4,-14.6
0.000047,27.2,-14.4
0.000051,27.2,-14.4
0.000055,28,-14.4
0.000059,28,-14.4
0.000063,28,-14.4
0.000067,27.2,-14.4
0.000071,28,-14.4
0.000075,27.2,-14.4
0.000079,28,-14.4
0.000083,28,-14.4
0.000087,28,-14.4
0.000091,28,-14.4
0.000095,29.6,-14.4
0.000099,28.8,-14.4
0.000103,29.6,-14.4
0.000107,29.6,-14.4
0.000111,28,-14.2
0.000115,28,-14.6
0.000119,28.8,-14.4
0.000123,28,-14.4
0.000127,28.8,-14.4
0.000131,28,-14.4
0.000135,27.2,-14.4
0.000139,28,-14.6
0.000143,28.8,-14.4
0.000147,28,-14.4
0.000151,27.2,-14.4
0.000155,28.8,-14.4
0.000159,26.4,-14.4
0.000163,26.4,-14.4
0.000167,26.4,-14.4
0.000171,27.2,-14.4
0.000175,25.6,-14.4
0.000179,27.2,-14.4
0.000183,24.8,-14.4
0.000187,26.4,-14.4
0.000191,26.4,-14.4
0.000195,27.2,-14.4
0.000199,25.6,-14.4
0.000203,27.2,-14.2
0.000207,24.8,-14.4
0.000211,24.8,-14.4
0.000215,24.8,-14.4
0.000219,25.6,-14.4
0.000223,24.8,-14.4
0.000227,24.8,-14.4
0.000231,24.8,-14.4
0.000235,25.6,-14.4
0.000239,24.8,-14.4
0.000243,25.6,-14.2
0.000247,26.4,-14.6
0.000251,24.8,-14.4
0.000255,26.4,-14.4
0.000259,25.6,-14.4
0.000263,25.6,-14.4
0.000267,25.6,-14.4
0.000271,25.6,-14.6
0.000275,26.4,-14.4
0.000279,26.4,-14.4
0.000283,25.6,-14.4
0.000287,24.8,-14.6
0.000291,24.8,-14.4
0.000295,24.8,-14.4
0.000299,25.6,-14.4
0.000303,27.2,-14.6
0.000307,26.4,-14.4
0.000311,26.4,-14.4
0.000315,25.6,-14.2
0.000319,27.2,-14.4
0.000323,25.6,-14.4
0.000327,27.2,-14.4
0.000331,27.2,-14.6
0.000335,26.4,-14.4
0.000339,26.4,-14.4
0.000343,28,-14.4
0.000347,26.4,-14.2
0.000351,26.4,-14.4
0.000355,27.2,-14.4
0.000359,28,-14.4
0.000363,28,-14.4
0.000367,27.2,-14.4
0.000371,27.2,-14.2
0.000375,28,-14.4
0.000379,27.2,-14.4
0.000383,28,-14.4
0.000387,28,-14.4
0.000391,28.8,-14.4
0.000395,27.2,-14.4
0.000399,28,-14.2
0.000403,28.8,-14.4
0.000407,27.2,-14.6
0.000411,27.2,-14.4
0.000415,26.4,-14.4
0.000419,27.2,-14.4
0.000423,27.2,-14.4
0.000427,28,-14.4
0.000431,26.4,-14.4
0.000435,27.2,-14.4
0.000439,28,-14.2
0.000443,27.2,-14.4
0.000447,26.4,-14.4
0.000451,27.2,-14.6
0.000455,26.4,-14.4
0.000459,27.2,-14.2
0.000463,26.4,-14.4
0.000467,27.2,-14.4
0.000471,26.4,-14.4
0.000475,28.8,-14.4
0.000479,28.8,-14.2
0.000483,28,-14.4
0.000487,25.6,-14.2
0.000491,28.8,-14.4
0.000495,27.2,-14.4
0.000499,28,-14.4
0.000503,26.4,-14.2
0.000507,27.2,-14.4
0.000511,28,-14.4
0.000515,26.4,-14.4
0.000519,25.6,-14.6
0.000523,28,-14.4
