tiempo (s),t corr (s),tension CH1 (mv),tension CH2 (V)
2.00E-04,2.0016E-05,11.2,-9.2
4.00E-04,4.0032E-05,12.8,-9.2
6.00E-04,6.0048E-05,14.4,-9.2
8.00E-04,8.0064E-05,14.4,-9
1.00E-03,1.0008E-04,14.4,-9.2
0.0012,1.2010E-04,15.2,-9
0.0014,1.4011E-04,15.2,-9
0.0016,1.6013E-04,14.4,-9
0.0018,1.8014E-04,14.4,-9.2
0.002,2.0016E-04,13.6,-9
0.0022,2.2018E-04,14.4,-9.2
0.0024,2.4019E-04,12.8,-9
0.0026,2.6021E-04,12,-9.2
0.0028,2.8022E-04,11.2,-9
0.003,3.0024E-04,11.2,-9
0.0032,3.2026E-04,12,-9.2
0.0034,3.4027E-04,12,-9.2
0.0036,3.6029E-04,12,-9
0.0038,3.8030E-04,12,-9.2
0.004,4.0032E-04,12,-9
0.0042,4.2034E-04,11.2,-9.2
0.0044,4.4035E-04,11.2,-9.2
0.0046,4.6037E-04,11.2,-9.2
0.0048,4.8038E-04,11.2,-9
0.005,5.0040E-04,11.2,-9.2
0.0052,5.2042E-04,12,-9
0.0054,5.4043E-04,12,-9.2
0.0056,5.6045E-04,11.2,-9
0.0058,5.8046E-04,11.2,-9.2
0.006,6.0048E-04,13.6,-9.2
0.0062,6.2050E-04,13.6,-9.2
0.0064,6.4051E-04,13.6,-9
0.0066,6.6053E-04,14.4,-9.2
0.0068,6.8054E-04,13.6,-9.2
0.007,7.0056E-04,13.6,-9
0.0072,7.2058E-04,13.6,-9
0.0074,7.4059E-04,13.6,-9.2
0.0076,7.6061E-04,13.6,-9
0.0078,7.8062E-04,13.6,-9
0.008,8.0064E-04,14.4,-9
0.0082,8.2066E-04,12.8,-9.2
0.0084,8.4067E-04,14.4,-9.2
0.0086,8.6069E-04,11.2,-9
0.0088,8.8070E-04,12,-9.2
0.009,9.0072E-04,12,-9.2
0.0092,9.2074E-04,10.4,-9
0.0094,9.4075E-04,11.2,-9.2
0.0096,9.6077E-04,10.4,-9.2
0.0098,9.8078E-04,12.8,-9
0.01,1.0008E-03,8.8,-9.2
0.0102,1.0208E-03,10.4,-9.2
0.0104,1.0408E-03,11.2,-9
0.0106,1.0608E-03,10.4,-9.2
0.0108,1.0809E-03,9.6,-9.2
0.011,1.1009E-03,10.4,-9
0.0112,1.1209E-03,11.2,-9.2
0.0114,1.1409E-03,9.6,-9.2
0.0116,1.1609E-03,11.2,-9.2
0.0118,1.1809E-03,11.2,-9.2
0.012,1.2010E-03,11.2,-9.2
0.0122,1.2210E-03,12,-9
