tiempo (s),señal CH1a (mV),señal CH1b (mV),señal CH2 (V)
-0.000001,24.8,25.6,-14.4
0.000003,23.2,25.6,-14.4
0.000007,24.8,28,-14.6
0.000011,23.2,25.6,-14.4
0.000015,24.8,25.6,-14.4
0.000019,23.2,25.6,-14.6
0.000023,24.8,27.2,-14.4
0.000027,24,25.6,-14.4
0.000031,24,28,-14.6
0.000035,24,26.4,-14.2
0.000039,24,28,-14.4
0.000043,24.8,26.4,-14.6
0.000047,24.8,27.2,-14.4
0.000051,24,27.2,-14.4
0.000055,22.4,28,-14.4
0.000059,23.2,28,-14.4
0.000063,24,28,-14.4
0.000067,24,27.2,-14.4
0.000071,21.6,28,-14.4
0.000075,22.4,27.2,-14.4
0.000079,24.8,28,-14.4
0.000083,24.8,28,-14.4
0.000087,24,28,-14.4
0.000091,24.8,28,-14.4
0.000095,24.8,29.6,-14.4
0.000099,24,28.8,-14.4
0.000103,24,29.6,-14.4
0.000107,24.8,29.6,-14.4
0.000111,24,28,-14.2
0.000115,23.2,28,-14.6
0.000119,24.8,28.8,-14.4
0.000123,24.8,28,-14.4
0.000127,24,28.8,-14.4
0.000131,24,28,-14.4
0.000135,22.4,27.2,-14.4
0.000139,24,28,-14.6
0.000143,23.2,28.8,-14.4
0.000147,24.8,28,-14.4
0.000151,23.2,27.2,-14.4
0.000155,24,28.8,-14.4
0.000159,24,26.4,-14.4
0.000163,24.8,26.4,-14.4
0.000167,24,26.4,-14.4
0.000171,23.2,27.2,-14.4
0.000175,24,25.6,-14.4
0.000179,24.8,27.2,-14.4
0.000183,24,24.8,-14.4
0.000187,23.2,26.4,-14.4
0.000191,22.4,26.4,-14.4
0.000195,22.4,27.2,-14.4
0.000199,23.2,25.6,-14.4
0.000203,23.2,27.2,-14.2
0.000207,24,24.8,-14.4
0.000211,24,24.8,-14.4
0.000215,23.2,24.8,-14.4
0.000219,23.2,25.6,-14.4
0.000223,23.2,24.8,-14.4
0.000227,23.2,24.8,-14.4
0.000231,24,24.8,-14.4
0.000235,24,25.6,-14.4
0.000239,24.8,24.8,-14.4
0.000243,23.2,25.6,-14.2
0.000247,24,26.4,-14.6
0.000251,24.8,24.8,-14.4
0.000255,24,26.4,-14.4
0.000259,24.8,25.6,-14.4
0.000263,25.6,25.6,-14.4
0.000267,24,25.6,-14.4
0.000271,24.8,25.6,-14.6
0.000275,24,26.4,-14.4
0.000279,24.8,26.4,-14.4
0.000283,24,25.6,-14.4
0.000287,24.8,24.8,-14.6
0.000291,25.6,24.8,-14.4
0.000295,26.4,24.8,-14.4
0.000299,24,25.6,-14.4
0.000303,24,27.2,-14.6
0.000307,25.6,26.4,-14.4
0.000311,24.8,26.4,-14.4
0.000315,24.8,25.6,-14.2
0.000319,25.6,27.2,-14.4
0.000323,26.4,25.6,-14.4
0.000327,25.6,27.2,-14.4
0.000331,25.6,27.2,-14.6
0.000335,25.6,26.4,-14.4
0.000339,26.4,26.4,-14.4
0.000343,26.4,28,-14.4
0.000347,26.4,26.4,-14.2
0.000351,25.6,26.4,-14.4
0.000355,25.6,27.2,-14.4
0.000359,26.4,28,-14.4
0.000363,25.6,28,-14.4
0.000367,26.4,27.2,-14.4
0.000371,26.4,27.2,-14.2
0.000375,27.2,28,-14.4
0.000379,27.2,27.2,-14.4
0.000383,27.2,28,-14.4
0.000387,26.4,28,-14.4
0.000391,27.2,28.8,-14.4
0.000395,27.2,27.2,-14.4
0.000399,25.6,28,-14.2
0.000403,27.2,28.8,-14.4
0.000407,24.8,27.2,-14.6
0.000411,25.6,27.2,-14.4
0.000415,25.6,26.4,-14.4
0.000419,27.2,27.2,-14.4
0.000423,25.6,27.2,-14.4
0.000427,25.6,28,-14.4
0.000431,25.6,26.4,-14.4
0.000435,26.4,27.2,-14.4
0.000439,24.8,28,-14.2
0.000443,26.4,27.2,-14.4
0.000447,24.8,26.4,-14.4
0.000451,25.6,27.2,-14.6
0.000455,24.8,26.4,-14.4
0.000459,24.8,27.2,-14.2
0.000463,24.8,26.4,-14.4
0.000467,25.6,27.2,-14.4
0.000471,24.8,26.4,-14.4
0.000475,25.6,28.8,-14.4
0.000479,24.8,28.8,-14.2
0.000483,24.8,28,-14.4
0.000487,24.8,25.6,-14.2
0.000491,24,28.8,-14.4
0.000495,24.8,27.2,-14.4
0.000499,24,28,-14.4
0.000503,24.8,26.4,-14.2
0.000507,24.8,27.2,-14.4
0.000511,24.8,28,-14.4
0.000515,24.8,26.4,-14.4
0.000519,25.6,25.6,-14.6
0.000523,24,28,-14.4
0.000527,24.8,27.2,-14.4
0.000531,24.8,27.2,-14.4
0.000535,24.8,28.8,-14.4
0.000539,24.8,27.2,-14.2
0.000543,24.8,28,-14.6
0.000547,24.8,27.2,-14.4
0.000551,25.6,28.8,-14.4
0.000555,24.8,27.2,-14.4
0.000559,24.8,28,-14.4
0.000563,25.6,28,-14.4
0.000567,24.8,27.2,-14.4
0.000571,24.8,26.4,-14.4
0.000575,24.8,27.2,-14.2
0.000579,24.8,27.2,-14.2
0.000583,25.6,26.4,-14.4
0.000587,24.8,27.2,-14.4
0.000591,25.6,28,-14.2
0.000595,25.6,26.4,-14.4
0.000599,24.8,28,-14.4
0.000603,24,25.6,-14.2
0.000607,24,26.4,-14.4
0.000611,24.8,25.6,-14.4
0.000615,24,27.2,-14.4
0.000619,24.8,24.8,-14.4
0.000623,24,26.4,-14.4
0.000627,24,27.2,-14.4
0.000631,24.8,28,-14.4
0.000635,23.2,26.4,-14.2
0.000639,23.2,25.6,-14.4
0.000643,24.8,26.4,-14.2
0.000647,24,27.2,-14.4
0.000651,23.2,28,-14.4
0.000655,24,26.4,-14.6
0.000659,24,26.4,-14.4
0.000663,23.2,26.4,-14.4
0.000667,24.8,26.4,-14.4
0.000671,24,26.4,-14.4
0.000675,24.8,27.2,-14.4
0.000679,23.2,26.4,-14.6
0.000683,24,26.4,-14.4
0.000687,24,25.6,-14.6
0.000691,24,27.2,-14.4
0.000695,23.2,26.4,-14.4
0.000699,24,28,-14.6
0.000703,24.8,25.6,-14.4
0.000707,24,27.2,-14.6
0.000711,23.2,27.2,-14.6
0.000715,24.8,27.2,-14.4
0.000719,24,26.4,-14.6
0.000723,24,27.2,-14.2
0.000727,24.8,27.2,-14.4
0.000731,24.8,27.2,-14.4
0.000735,24.8,27.2,-14.4
0.000739,24.8,27.2,-14.4
0.000743,24.8,24.8,-14.4
0.000747,24.8,25.6,-14.4
0.000751,24.8,25.6,-14.4
0.000755,24.8,26.4,-14.4
0.000759,24.8,24.8,-14.6
0.000763,24.8,27.2,-14.2
0.000767,24,26.4,-14.4
0.000771,24.8,26.4,-14.4
0.000775,24.8,25.6,-14.4
0.000779,24,24.8,-14.4
0.000783,24.8,24.8,-14.6
0.000787,24,24.8,-14.4
0.000791,24.8,25.6,-14.4
0.000795,24,24.8,-14.4
0.000799,25.6,24.8,-14.6
0.000803,24.8,26.4,-14.2
0.000807,25.6,25.6,-14.6
0.000811,25.6,25.6,-14.4
0.000815,24.8,25.6,-14.6
0.000819,24.8,24.8,-14.2
0.000823,24.8,25.6,-14.6
0.000827,24,25.6,-14.2
0.000831,24.8,28.8,-14.4
0.000835,24.8,24.8,-14.2
0.000839,25.6,25.6,-14.4
0.000843,24.8,24.8,-14.6
0.000847,24.8,26.4,-14.4
0.000851,24.8,25.6,-14.4
0.000855,24.8,25.6,-14.4
0.000859,24,24.8,-14.4
0.000863,24,26.4,-14.2
0.000867,24,24.8,-14.2
0.000871,24.8,25.6,-14.4
0.000875,24,24.8,-14.4
0.000879,24,27.2,-14.4
0.000883,24.8,25.6,-14.2
0.000887,24.8,26.4,-14.2
0.000891,23.2,24.8,-14.4
0.000895,24.8,24.8,-14.4
0.000899,24,26.4,-14.4
0.000903,24.8,27.2,-14.4
0.000907,24.8,24.8,-14.4
0.000911,24,27.2,-14.6
0.000915,24,27.2,-14.4
0.000919,24,24.8,-14.4
0.000923,24,25.6,-14.6
0.000927,24,26.4,-14.4
0.000931,23.2,26.4,-14.4
0.000935,23.2,25.6,-14.2
0.000939,22.4,25.6,-14.4
0.000943,22.4,24.8,-14.4
0.000947,22.4,25.6,-14.4
0.000951,23.2,24.8,-14.6
0.000955,24.8,27.2,-14.4
0.000959,22.4,26.4,-14.4
0.000963,24,27.2,-14.6
0.000967,23.2,25.6,-14.2
0.000971,22.4,26.4,-14.4
0.000975,23.2,24.8,-14.4
0.000979,23.2,27.2,-14.4
0.000983,22.4,24.8,-14.4
0.000987,23.2,25.6,-14.4
0.000991,23.2,26.4,-14.4
0.000995,24,26.4,-14.2
0.000999,24,25.6,-14.4
0.001,23.2,25.6,-14.4
0.00101,24,25.6,-14.6
0.00101,23.2,26.4,-14.6
0.00101,24,25.6,-14.4
0.00102,23.2,26.4,-14.2
